state_class,strategy,sample_idx,basis
haar,wht_only,0,wht
haar,kstar_90,0,wht
haar,kstar_50,0,identity
haar,topk_mass,0,identity
haar,quant_probe,0,identity
haar,hybrid,0,identity
haar,oracle,0,identity
haar,wht_only,1,wht
haar,kstar_90,1,wht
haar,kstar_50,1,wht
haar,topk_mass,1,wht
haar,quant_probe,1,wht
haar,hybrid,1,wht
haar,oracle,1,wht
haar,wht_only,2,wht
haar,kstar_90,2,identity
haar,kstar_50,2,identity
haar,topk_mass,2,wht
haar,quant_probe,2,wht
haar,hybrid,2,wht
haar,oracle,2,wht
haar,wht_only,3,wht
haar,kstar_90,3,identity
haar,kstar_50,3,identity
haar,topk_mass,3,identity
haar,quant_probe,3,wht
haar,hybrid,3,wht
haar,oracle,3,wht
haar,wht_only,4,wht
haar,kstar_90,4,dct
haar,kstar_50,4,dct
haar,topk_mass,4,dct
haar,quant_probe,4,identity
haar,hybrid,4,identity
haar,oracle,4,identity
haar,wht_only,5,wht
haar,kstar_90,5,identity
haar,kstar_50,5,identity
haar,topk_mass,5,wht
haar,quant_probe,5,wht
haar,hybrid,5,wht
haar,oracle,5,wht
haar,wht_only,6,wht
haar,kstar_90,6,wht
haar,kstar_50,6,wht
haar,topk_mass,6,wht
haar,quant_probe,6,dct
haar,hybrid,6,dct
haar,oracle,6,dct
haar,wht_only,7,wht
haar,kstar_90,7,dct
haar,kstar_50,7,dct
haar,topk_mass,7,dct
haar,quant_probe,7,wht
haar,hybrid,7,wht
haar,oracle,7,wht
haar,wht_only,8,wht
haar,kstar_90,8,identity
haar,kstar_50,8,identity
haar,topk_mass,8,identity
haar,quant_probe,8,dct
haar,hybrid,8,dct
haar,oracle,8,dct
haar,wht_only,9,wht
haar,kstar_90,9,identity
haar,kstar_50,9,wht
haar,topk_mass,9,wht
haar,quant_probe,9,identity
haar,hybrid,9,identity
haar,oracle,9,identity
haar,wht_only,10,wht
haar,kstar_90,10,identity
haar,kstar_50,10,identity
haar,topk_mass,10,identity
haar,quant_probe,10,wht
haar,hybrid,10,wht
haar,oracle,10,dct
haar,wht_only,11,wht
haar,kstar_90,11,identity
haar,kstar_50,11,identity
haar,topk_mass,11,identity
haar,quant_probe,11,identity
haar,hybrid,11,identity
haar,oracle,11,dct
haar,wht_only,12,wht
haar,kstar_90,12,identity
haar,kstar_50,12,dct
haar,topk_mass,12,dct
haar,quant_probe,12,identity
haar,hybrid,12,identity
haar,oracle,12,identity
haar,wht_only,13,wht
haar,kstar_90,13,dct
haar,kstar_50,13,dct
haar,topk_mass,13,identity
haar,quant_probe,13,identity
haar,hybrid,13,identity
haar,oracle,13,identity
haar,wht_only,14,wht
haar,kstar_90,14,wht
haar,kstar_50,14,wht
haar,topk_mass,14,identity
haar,quant_probe,14,identity
haar,hybrid,14,identity
haar,oracle,14,identity
haar,wht_only,15,wht
haar,kstar_90,15,wht
haar,kstar_50,15,wht
haar,topk_mass,15,wht
haar,quant_probe,15,dct
haar,hybrid,15,dct
haar,oracle,15,wht
haar,wht_only,16,wht
haar,kstar_90,16,dct
haar,kstar_50,16,identity
haar,topk_mass,16,dct
haar,quant_probe,16,identity
haar,hybrid,16,identity
haar,oracle,16,identity
haar,wht_only,17,wht
haar,kstar_90,17,identity
haar,kstar_50,17,identity
haar,topk_mass,17,identity
haar,quant_probe,17,wht
haar,hybrid,17,wht
haar,oracle,17,wht
haar,wht_only,18,wht
haar,kstar_90,18,wht
haar,kstar_50,18,wht
haar,topk_mass,18,wht
haar,quant_probe,18,identity
haar,hybrid,18,identity
haar,oracle,18,identity
haar,wht_only,19,wht
haar,kstar_90,19,identity
haar,kstar_50,19,dct
haar,topk_mass,19,dct
haar,quant_probe,19,identity
haar,hybrid,19,identity
haar,oracle,19,identity
tfim,wht_only,0,wht
tfim,kstar_90,0,dct
tfim,kstar_50,0,dct
tfim,topk_mass,0,dct
tfim,quant_probe,0,dct
tfim,hybrid,0,dct
tfim,oracle,0,dct
tfim,wht_only,1,wht
tfim,kstar_90,1,dct
tfim,kstar_50,1,dct
tfim,topk_mass,1,dct
tfim,quant_probe,1,dct
tfim,hybrid,1,dct
tfim,oracle,1,dct
tfim,wht_only,2,wht
tfim,kstar_90,2,dct
tfim,kstar_50,2,dct
tfim,topk_mass,2,dct
tfim,quant_probe,2,dct
tfim,hybrid,2,dct
tfim,oracle,2,dct
tfim,wht_only,3,wht
tfim,kstar_90,3,dct
tfim,kstar_50,3,dct
tfim,topk_mass,3,dct
tfim,quant_probe,3,dct
tfim,hybrid,3,dct
tfim,oracle,3,dct
tfim,wht_only,4,wht
tfim,kstar_90,4,dct
tfim,kstar_50,4,dct
tfim,topk_mass,4,dct
tfim,quant_probe,4,dct
tfim,hybrid,4,dct
tfim,oracle,4,dct
tfim,wht_only,5,wht
tfim,kstar_90,5,dct
tfim,kstar_50,5,dct
tfim,topk_mass,5,dct
tfim,quant_probe,5,dct
tfim,hybrid,5,dct
tfim,oracle,5,dct
tfim,wht_only,6,wht
tfim,kstar_90,6,dct
tfim,kstar_50,6,dct
tfim,topk_mass,6,dct
tfim,quant_probe,6,dct
tfim,hybrid,6,dct
tfim,oracle,6,dct
tfim,wht_only,7,wht
tfim,kstar_90,7,dct
tfim,kstar_50,7,dct
tfim,topk_mass,7,dct
tfim,quant_probe,7,dct
tfim,hybrid,7,dct
tfim,oracle,7,dct
tfim,wht_only,8,wht
tfim,kstar_90,8,dct
tfim,kstar_50,8,dct
tfim,topk_mass,8,dct
tfim,quant_probe,8,dct
tfim,hybrid,8,dct
tfim,oracle,8,dct
tfim,wht_only,9,wht
tfim,kstar_90,9,dct
tfim,kstar_50,9,dct
tfim,topk_mass,9,dct
tfim,quant_probe,9,dct
tfim,hybrid,9,dct
tfim,oracle,9,dct
tfim,wht_only,10,wht
tfim,kstar_90,10,dct
tfim,kstar_50,10,dct
tfim,topk_mass,10,dct
tfim,quant_probe,10,dct
tfim,hybrid,10,dct
tfim,oracle,10,dct
tfim,wht_only,11,wht
tfim,kstar_90,11,dct
tfim,kstar_50,11,dct
tfim,topk_mass,11,dct
tfim,quant_probe,11,dct
tfim,hybrid,11,dct
tfim,oracle,11,dct
tfim,wht_only,12,wht
tfim,kstar_90,12,dct
tfim,kstar_50,12,dct
tfim,topk_mass,12,dct
tfim,quant_probe,12,dct
tfim,hybrid,12,dct
tfim,oracle,12,dct
tfim,wht_only,13,wht
tfim,kstar_90,13,dct
tfim,kstar_50,13,dct
tfim,topk_mass,13,dct
tfim,quant_probe,13,dct
tfim,hybrid,13,dct
tfim,oracle,13,dct
tfim,wht_only,14,wht
tfim,kstar_90,14,dct
tfim,kstar_50,14,dct
tfim,topk_mass,14,dct
tfim,quant_probe,14,dct
tfim,hybrid,14,dct
tfim,oracle,14,dct
tfim,wht_only,15,wht
tfim,kstar_90,15,dct
tfim,kstar_50,15,dct
tfim,topk_mass,15,dct
tfim,quant_probe,15,dct
tfim,hybrid,15,dct
tfim,oracle,15,dct
tfim,wht_only,16,wht
tfim,kstar_90,16,dct
tfim,kstar_50,16,dct
tfim,topk_mass,16,dct
tfim,quant_probe,16,dct
tfim,hybrid,16,dct
tfim,oracle,16,dct
tfim,wht_only,17,wht
tfim,kstar_90,17,dct
tfim,kstar_50,17,dct
tfim,topk_mass,17,dct
tfim,quant_probe,17,dct
tfim,hybrid,17,dct
tfim,oracle,17,dct
tfim,wht_only,18,wht
tfim,kstar_90,18,dct
tfim,kstar_50,18,dct
tfim,topk_mass,18,dct
tfim,quant_probe,18,dct
tfim,hybrid,18,dct
tfim,oracle,18,dct
tfim,wht_only,19,wht
tfim,kstar_90,19,dct
tfim,kstar_50,19,dct
tfim,topk_mass,19,dct
tfim,quant_probe,19,dct
tfim,hybrid,19,dct
tfim,oracle,19,dct
mps,wht_only,0,wht
mps,kstar_90,0,dct
mps,kstar_50,0,identity
mps,topk_mass,0,dct
mps,quant_probe,0,identity
mps,hybrid,0,identity
mps,oracle,0,identity
mps,wht_only,1,wht
mps,kstar_90,1,identity
mps,kstar_50,1,identity
mps,topk_mass,1,identity
mps,quant_probe,1,wht
mps,hybrid,1,wht
mps,oracle,1,wht
mps,wht_only,2,wht
mps,kstar_90,2,wht
mps,kstar_50,2,wht
mps,topk_mass,2,identity
mps,quant_probe,2,wht
mps,hybrid,2,wht
mps,oracle,2,wht
mps,wht_only,3,wht
mps,kstar_90,3,identity
mps,kstar_50,3,identity
mps,topk_mass,3,wht
mps,quant_probe,3,wht
mps,hybrid,3,wht
mps,oracle,3,wht
mps,wht_only,4,wht
mps,kstar_90,4,wht
mps,kstar_50,4,wht
mps,topk_mass,4,wht
mps,quant_probe,4,wht
mps,hybrid,4,wht
mps,oracle,4,wht
mps,wht_only,5,wht
mps,kstar_90,5,identity
mps,kstar_50,5,identity
mps,topk_mass,5,identity
mps,quant_probe,5,dct
mps,hybrid,5,dct
mps,oracle,5,dct
mps,wht_only,6,wht
mps,kstar_90,6,identity
mps,kstar_50,6,identity
mps,topk_mass,6,identity
mps,quant_probe,6,wht
mps,hybrid,6,wht
mps,oracle,6,wht
mps,wht_only,7,wht
mps,kstar_90,7,identity
mps,kstar_50,7,identity
mps,topk_mass,7,dct
mps,quant_probe,7,dct
mps,hybrid,7,dct
mps,oracle,7,dct
mps,wht_only,8,wht
mps,kstar_90,8,wht
mps,kstar_50,8,identity
mps,topk_mass,8,wht
mps,quant_probe,8,wht
mps,hybrid,8,wht
mps,oracle,8,wht
mps,wht_only,9,wht
mps,kstar_90,9,wht
mps,kstar_50,9,wht
mps,topk_mass,9,wht
mps,quant_probe,9,dct
mps,hybrid,9,dct
mps,oracle,9,dct
mps,wht_only,10,wht
mps,kstar_90,10,identity
mps,kstar_50,10,wht
mps,topk_mass,10,wht
mps,quant_probe,10,dct
mps,hybrid,10,dct
mps,oracle,10,dct
mps,wht_only,11,wht
mps,kstar_90,11,identity
mps,kstar_50,11,identity
mps,topk_mass,11,identity
mps,quant_probe,11,wht
mps,hybrid,11,wht
mps,oracle,11,wht
mps,wht_only,12,wht
mps,kstar_90,12,identity
mps,kstar_50,12,identity
mps,topk_mass,12,identity
mps,quant_probe,12,dct
mps,hybrid,12,dct
mps,oracle,12,wht
mps,wht_only,13,wht
mps,kstar_90,13,wht
mps,kstar_50,13,wht
mps,topk_mass,13,wht
mps,quant_probe,13,dct
mps,hybrid,13,dct
mps,oracle,13,identity
mps,wht_only,14,wht
mps,kstar_90,14,wht
mps,kstar_50,14,wht
mps,topk_mass,14,wht
mps,quant_probe,14,identity
mps,hybrid,14,identity
mps,oracle,14,identity
mps,wht_only,15,wht
mps,kstar_90,15,wht
mps,kstar_50,15,wht
mps,topk_mass,15,wht
mps,quant_probe,15,dct
mps,hybrid,15,dct
mps,oracle,15,dct
mps,wht_only,16,wht
mps,kstar_90,16,wht
mps,kstar_50,16,identity
mps,topk_mass,16,identity
mps,quant_probe,16,wht
mps,hybrid,16,wht
mps,oracle,16,wht
mps,wht_only,17,wht
mps,kstar_90,17,wht
mps,kstar_50,17,wht
mps,topk_mass,17,wht
mps,quant_probe,17,identity
mps,hybrid,17,identity
mps,oracle,17,dct
mps,wht_only,18,wht
mps,kstar_90,18,identity
mps,kstar_50,18,identity
mps,topk_mass,18,wht
mps,quant_probe,18,dct
mps,hybrid,18,dct
mps,oracle,18,dct
mps,wht_only,19,wht
mps,kstar_90,19,identity
mps,kstar_50,19,identity
mps,topk_mass,19,identity
mps,quant_probe,19,dct
mps,hybrid,19,dct
mps,oracle,19,dct
heisenberg,wht_only,0,wht
heisenberg,kstar_90,0,wht
heisenberg,kstar_50,0,wht
heisenberg,topk_mass,0,wht
heisenberg,quant_probe,0,dct
heisenberg,hybrid,0,dct
heisenberg,oracle,0,dct
heisenberg,wht_only,1,wht
heisenberg,kstar_90,1,wht
heisenberg,kstar_50,1,wht
heisenberg,topk_mass,1,wht
heisenberg,quant_probe,1,dct
heisenberg,hybrid,1,dct
heisenberg,oracle,1,dct
heisenberg,wht_only,2,wht
heisenberg,kstar_90,2,wht
heisenberg,kstar_50,2,wht
heisenberg,topk_mass,2,wht
heisenberg,quant_probe,2,dct
heisenberg,hybrid,2,dct
heisenberg,oracle,2,dct
heisenberg,wht_only,3,wht
heisenberg,kstar_90,3,wht
heisenberg,kstar_50,3,wht
heisenberg,topk_mass,3,wht
heisenberg,quant_probe,3,dct
heisenberg,hybrid,3,dct
heisenberg,oracle,3,dct
heisenberg,wht_only,4,wht
heisenberg,kstar_90,4,wht
heisenberg,kstar_50,4,wht
heisenberg,topk_mass,4,wht
heisenberg,quant_probe,4,dct
heisenberg,hybrid,4,dct
heisenberg,oracle,4,dct
heisenberg,wht_only,5,wht
heisenberg,kstar_90,5,wht
heisenberg,kstar_50,5,wht
heisenberg,topk_mass,5,wht
heisenberg,quant_probe,5,dct
heisenberg,hybrid,5,dct
heisenberg,oracle,5,dct
heisenberg,wht_only,6,wht
heisenberg,kstar_90,6,wht
heisenberg,kstar_50,6,wht
heisenberg,topk_mass,6,wht
heisenberg,quant_probe,6,dct
heisenberg,hybrid,6,dct
heisenberg,oracle,6,dct
heisenberg,wht_only,7,wht
heisenberg,kstar_90,7,wht
heisenberg,kstar_50,7,wht
heisenberg,topk_mass,7,wht
heisenberg,quant_probe,7,dct
heisenberg,hybrid,7,dct
heisenberg,oracle,7,dct
heisenberg,wht_only,8,wht
heisenberg,kstar_90,8,wht
heisenberg,kstar_50,8,wht
heisenberg,topk_mass,8,wht
heisenberg,quant_probe,8,dct
heisenberg,hybrid,8,dct
heisenberg,oracle,8,dct
heisenberg,wht_only,9,wht
heisenberg,kstar_90,9,wht
heisenberg,kstar_50,9,wht
heisenberg,topk_mass,9,wht
heisenberg,quant_probe,9,dct
heisenberg,hybrid,9,dct
heisenberg,oracle,9,dct
heisenberg,wht_only,10,wht
heisenberg,kstar_90,10,wht
heisenberg,kstar_50,10,wht
heisenberg,topk_mass,10,wht
heisenberg,quant_probe,10,dct
heisenberg,hybrid,10,dct
heisenberg,oracle,10,dct
heisenberg,wht_only,11,wht
heisenberg,kstar_90,11,wht
heisenberg,kstar_50,11,wht
heisenberg,topk_mass,11,wht
heisenberg,quant_probe,11,dct
heisenberg,hybrid,11,dct
heisenberg,oracle,11,dct
heisenberg,wht_only,12,wht
heisenberg,kstar_90,12,wht
heisenberg,kstar_50,12,wht
heisenberg,topk_mass,12,wht
heisenberg,quant_probe,12,dct
heisenberg,hybrid,12,dct
heisenberg,oracle,12,dct
heisenberg,wht_only,13,wht
heisenberg,kstar_90,13,wht
heisenberg,kstar_50,13,wht
heisenberg,topk_mass,13,wht
heisenberg,quant_probe,13,dct
heisenberg,hybrid,13,dct
heisenberg,oracle,13,dct
heisenberg,wht_only,14,wht
heisenberg,kstar_90,14,wht
heisenberg,kstar_50,14,wht
heisenberg,topk_mass,14,wht
heisenberg,quant_probe,14,dct
heisenberg,hybrid,14,dct
heisenberg,oracle,14,dct
heisenberg,wht_only,15,wht
